Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
US,Female,Director,55+,Not promoted,Connected to big companies,8200
US,Female,Director,55+,Not promoted,Not connected,10800
US,Female,Director,35 to 54,Recently promoted,Connected to big companies,2600
US,Female,Director,35 to 54,Recently promoted,Not connected,1100
US,Female,Director,35 to 54,Not promoted,Connected to big companies,64400
US,Female,Director,35 to 54,Not promoted,Not connected,61510
US,Female,Director,25 to 34,Recently promoted,Connected to big companies,1600
US,Female,Director,25 to 34,Recently promoted,Not connected,900
US,Female,Director,25 to 34,Not promoted,Connected to big companies,19400
US,Female,Director,25 to 34,Not promoted,Not connected,39100
US,Female,Director,18 to 24,Recently promoted,Connected to big companies,340
US,Female,Director,18 to 24,Recently promoted,Not connected,230
US,Female,Director,18 to 24,Not promoted,Connected to big companies,3360
US,Female,Director,18 to 24,Not promoted,Not connected,6070
US,Female,Manager,55+,Recently promoted,Not connected,310
US,Female,Manager,55+,Not promoted,Connected to big companies,6200
US,Female,Manager,55+,Not promoted,Not connected,12490
US,Female,Manager,35 to 54,Recently promoted,Connected to big companies,2800
US,Female,Manager,35 to 54,Recently promoted,Not connected,1400
US,Female,Manager,35 to 54,Not promoted,Connected to big companies,61200
US,Female,Manager,35 to 54,Not promoted,Not connected,94130
US,Female,Manager,25 to 34,Recently promoted,Connected to big companies,3300
US,Female,Manager,25 to 34,Recently promoted,Not connected,1700
US,Female,Manager,25 to 34,Not promoted,Connected to big companies,34700
US,Female,Manager,25 to 34,Not promoted,Not connected,99810
US,Female,Manager,18 to 24,Recently promoted,Connected to big companies,440
US,Female,Manager,18 to 24,Recently promoted,Not connected,460
US,Female,Manager,18 to 24,Not promoted,Connected to big companies,4060
US,Female,Manager,18 to 24,Not promoted,Not connected,18040
US,Female,Senior,55+,Recently promoted,Not connected,380
US,Female,Senior,55+,Not promoted,Connected to big companies,17000
US,Female,Senior,55+,Not promoted,Not connected,47620
US,Female,Senior,35 to 54,Recently promoted,Connected to big companies,2400
US,Female,Senior,35 to 54,Recently promoted,Not connected,2300
US,Female,Senior,35 to 54,Not promoted,Connected to big companies,146850
US,Female,Senior,35 to 54,Not promoted,Not connected,327150
US,Female,Senior,25 to 34,Recently promoted,Connected to big companies,5500
US,Female,Senior,25 to 34,Recently promoted,Not connected,4500
US,Female,Senior,25 to 34,Not promoted,Connected to big companies,123400
US,Female,Senior,25 to 34,Not promoted,Not connected,414400
US,Female,Senior,18 to 24,Recently promoted,Connected to big companies,1400
US,Female,Senior,18 to 24,Recently promoted,Not connected,1700
