Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
US,Female,Director,55+,Not relocated,Connected to big companies,8200
US,Female,Director,55+,Not relocated,Not connected,10800
US,Female,Director,35 to 54,Recently relocated,Not connected,390
US,Female,Director,35 to 54,Not relocated,Connected to big companies,64400
US,Female,Director,35 to 54,Not relocated,Not connected,61510
US,Female,Director,25 to 34,Not relocated,Connected to big companies,19400
US,Female,Director,25 to 34,Not relocated,Not connected,39100
US,Female,Director,18 to 24,Not relocated,Connected to big companies,3360
US,Female,Director,18 to 24,Not relocated,Not connected,6070
US,Female,Manager,55+,Not relocated,Connected to big companies,6200
US,Female,Manager,55+,Not relocated,Not connected,12490
US,Female,Manager,35 to 54,Recently relocated,Not connected,470
US,Female,Manager,35 to 54,Not relocated,Connected to big companies,61200
US,Female,Manager,35 to 54,Not relocated,Not connected,94130
US,Female,Manager,25 to 34,Recently relocated,Not connected,490
US,Female,Manager,25 to 34,Not relocated,Connected to big companies,34700
US,Female,Manager,25 to 34,Not relocated,Not connected,99810
US,Female,Manager,18 to 24,Not relocated,Connected to big companies,4060
US,Female,Manager,18 to 24,Not relocated,Not connected,18040
US,Female,Senior,55+,Not relocated,Connected to big companies,17000
US,Female,Senior,55+,Not relocated,Not connected,47620
US,Female,Senior,35 to 54,Recently relocated,Connected to big companies,750
US,Female,Senior,35 to 54,Recently relocated,Not connected,550
US,Female,Senior,35 to 54,Not relocated,Connected to big companies,146850
US,Female,Senior,35 to 54,Not relocated,Not connected,327150
US,Female,Senior,25 to 34,Recently relocated,Connected to big companies,1100
US,Female,Senior,25 to 34,Recently relocated,Not connected,1100
US,Female,Senior,25 to 34,Not relocated,Connected to big companies,123400
US,Female,Senior,25 to 34,Not relocated,Not connected,414400
US,Female,Senior,18 to 24,Recently relocated,Not connected,560
US,Female,Senior,18 to 24,Not relocated,Connected to big companies,18600
US,Female,Senior,18 to 24,Not relocated,Not connected,70740
US,Female,Entry,55+,Not relocated,Connected to big companies,6000
US,Female,Entry,55+,Not relocated,Not connected,39000
US,Female,Entry,35 to 54,Recently relocated,Not connected,650
US,Female,Entry,35 to 54,Not relocated,Connected to big companies,56000
US,Female,Entry,35 to 54,Not relocated,Not connected,283350
US,Female,Entry,25 to 34,Recently relocated,Connected to big companies,830
US,Female,Entry,25 to 34,Recently relocated,Not connected,1270
